bus_no,route_type,route_info
101,급행,제주국제공항 ⇔ 동일주로 ⇔ 서귀포터미널
102,급행,제주터미널 ⇔ 서일주로 ⇔ 서귀포터미널
111,급행,제주국제공항 ⇔ 봉개 ⇔ 대천동 ⇔ 수산 ⇔ 성산항
112,급행,제주국제공항 ⇔ 시청 ⇔ 제주대학병원 ⇔ 대천동 ⇔ 수산 ⇔ 성산항
121,급행,제주국제공항 ⇔ 봉개 ⇔ 대천동 ⇔ 성읍 ⇔ 표선(제주민속촌)
122,급행,제주국제공항 ⇔ 시청 ⇔ 교래 ⇔ 대천동 ⇔ 성읍 ⇔ 표선(제주민속촌)
131,급행,제주국제공항 ⇔ 동광양 ⇔ 봉개 ⇔ 교래 ⇔ 수망리 ⇔ 금호리조트
132,급행,제주국제공항 ⇔ 시청 ⇔ 제대병원 ⇔ 교래 ⇔ 수망리 ⇔ 금호리조트
151,급행,제주버스터미널 ⇔ 제주국제공항 ⇔ 평화로 ⇔ 동광 ⇔ 영어교육도시 ⇔ 모슬포남항(운진항)
152,급행,제주버스터미널 ⇔ 제주국제공항 ⇔ 평화로 ⇔ 동광 ⇔ 화순 ⇔ 모슬포남항(운진항)
181,급행,제주국제공항 ⇔ 5.16도로 ⇔ 서귀포 ⇔ 평화로 ⇔ 제주국제공항 ⇔ 제주버스터미널
182,급행,제주버스터미널 ⇔ 제주국제공항 ⇔ 평화로 ⇔ 서귀포 ⇔ 5.16도로 ⇔ 제주국제공항
201,일반간선,제주버스터미널 ⇔ 조천 ⇔ 세화 ⇔ 성산 ⇔ 남원 ⇔ 서귀포버스터미널
202,일반간선,제주버스터미널 ⇔ 애월 ⇔ 한림 ⇔ 대정 ⇔ 중문 ⇔ 서귀포환승정류장
211,일반간선,제주버스터미널 ⇔ 봉개 ⇔ 대천동 ⇔ 수산 ⇔ 성산항
212,일반간선,제주버스터미널 ⇔ 시청 ⇔ 대천동 ⇔ 수산 ⇔ 성산항
281,일반간선,제주버스터미널 ⇔ 시청 ⇔ 5.16도로 ⇔ 서귀중앙R ⇔ 서귀포버스터미널
282,일반간선,제주버스터미널 ⇔ 한라병원 ⇔ 평화로 ⇔ 중문 ⇔ 서귀포구 버스터미널
300,제주간선,하귀(번대동) ⇔ 한라병원 ⇔ 제주시청 ⇔ 함덕(신사동)(도심급행)
301,제주간선,하귀(번대동) ⇔ 버스터미널 ⇔ 천수동 ⇔ 함덕(신사동)(도심급행)
311,제주간선,한라수목원 ⇔ 한라병원 ⇔ 제주시청 ⇔ 인제 ⇔ 삼양초 ⇔ 함덕(신사동)
312,제주간선,한라수목원 ⇔ 한라병원 ⇔ 제주시청 ⇔ 중앙로 ⇔ 삼화 ⇔ 함덕(신사동)
360,제주간선,제주대학교 ⇔ 시청 ⇔ 터미널 ⇔ 신제주R ⇔ 제주고 ⇔ 부영아파트
365,제주간선,제주대학교 ⇔ 시청 ⇔ 중앙로 ⇔ 공항 ⇔ 신제주R ⇔ 제주한라대학교
411,제주지선,제주여객선터미널 ⇒ 동문R ⇒ 삼화지구 ⇒ 봉개 ⇒ 영평 ⇒ 시청 ⇒ 제주여객선터미널(순환)
412,제주지선,제주여객선터미널 ⇒ 시청 ⇒ 영평 ⇒ 봉개 ⇒ 삼화지구 ⇒ 동문R ⇒ 제주여객선터미널(순환)
455,제주지선,제주대학교 ⇔ 시청 ⇔ 중앙로 ⇔ 용담 ⇔ 공항 ⇔ 신제주 ⇔ 장전리사무소
461,제주지선,제주버스터미널 ⇒ 중앙로 ⇒ 신제주R ⇒ 해안 ⇒ 제주버스터미널(순환)
